央视频道,#genre#
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225630/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.115.221:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.115.221:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.221:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV4,http://39.134.115.221:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225751/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225752/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225754/index.m3u8
CCTV5,http://39.134.115.221:8080/PLTV/88888910/224/3221225755/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://39.134.115.221:8080/PLTV/88888910/224/3221225706/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225632/index.m3u8
CCTV6,http://39.134.115.221:8080/PLTV/88888910/224/3221225650/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225624/index.m3u8
CCTV7,http://39.134.115.221:8080/PLTV/88888910/224/3221225644/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225631/index.m3u8
CCTV8,http://39.134.115.221:8080/PLTV/88888910/224/3221225635/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225626/index.m3u8
CCTV9,http://39.134.115.221:8080/PLTV/88888910/224/3221225646/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225627/index.m3u8
CCTV10,http://39.134.115.221:8080/PLTV/88888910/224/3221225636/index.m3u8
CCTV11,http://39.134.115.221:8080/PLTV/88888910/224/3221225628/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225629/index.m3u8
CCTV12,http://39.134.115.221:8080/PLTV/88888910/224/3221225637/index.m3u8
CCTV13,http://39.134.115.221:8080/PLTV/88888910/224/3221225638/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225639/index.m3u8
CCTV14,http://39.134.115.221:8080/PLTV/88888910/224/3221225640/index.m3u8
CCTV15,http://39.134.115.221:8080/PLTV/88888910/224/3221225641/index.m3u8
CETV,http://39.134.115.221:8080/PLTV/88888910/224/3221225661/index.m3u8
CGTN,http://39.134.115.221:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN记录,http://39.134.115.221:8080/PLTV/88888910/224/3221225645/index.m3u8
CNC,http://39.134.115.221:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC2,http://39.134.115.221:8080/PLTV/88888910/224/3221225694/index.m3u8
CCTV1,http://60.10.167.88:808/hls/1/index.m3u8
CCTV2,http://60.10.167.88:808/hls/2/index.m3u8
CCTV3,http://60.10.167.88:808/hls/3/index.m3u8
CCTV5,http://60.10.167.88:808/hls/5/index.m3u8
CCTV5+,http://60.10.167.88:808/hls/17/index.m3u8
CCTV6,http://60.10.167.88:808/hls/6/index.m3u8
CCTV7,http://60.10.167.88:808/hls/7/index.m3u8
CCTV8,http://60.10.167.88:808/hls/8/index.m3u8
CCTV9,http://60.10.167.88:808/hls/9/index.m3u8
CCTV11,http://60.10.167.88:808/hls/11/index.m3u8
CCTV12,http://60.10.167.88:808/hls/12/index.m3u8
CCTV13,http://60.10.167.88:808/hls/13/index.m3u8
